"","Energy","Fat","Saturated_fat","Carbohydrate","Sugars","Proteins","Salt","Sodium","Score"
"7954",3761,100,14,0,0,0,0,0,"D"
"7955",3761,100,14,0,0,0,0,0,"E"
"7956",3883,100,14,0,0,0,0,0,"D"
"7957",3117,82,51,1.1,1.1,0.7,0.02,0.008,"D"
"7960",3761,100,14,0,0,0,0,0,"E"
"7961",950,17,3.5,0.9,0.5,18,1.3,0.512,"C"
"7968",1591,2.3,1.1,78,32,8.1,0.85,0.335,"D"
"7970",397,2,0.8,1,1,18,3,1.181,"D"
"7975",357.55,2.8,0.9,0.2,0.2,14.2,0.38,0.15,"A"
"7977",1697,27.2,8.63,1.8,0.05,38,2.26,0.89,"E"
"8005",1397,29,10,0.7,0.7,19,2.9,1.142,"E"
"8007",243,0.01,0,16.71,12.32,0.96,0,0,"A"
"8020",60,3.1,0.9,5.9,1.5,2.5,2.1,0.827,"C"
"8028",988,9.7,4.7,26,2.7,11,1.5,0.591,"D"
"8029",1239,14.2,6.7,27.6,1.8,14,1.7,0.669,"D"
"8030",711,7.6,1.9,0.8,0.5,24,0.8,0.315,"B"
"8036",2125,26,9.9,62,9,6,2,0.787,"E"
"8037",2242,31.5,20,54.5,53.5,7.3,0.35,0.138,"E"
"8038",593,8,2.6,1.5,0.6,16,1.5,0.591,"C"
"8039",233,1,0.3,2.3,1.8,8.5,1.3,0.512,"A"
"8040",1106,23,4.05,1,0.1,13.4,9,3.543,"D"
"8041",821,0.2,0.025,45,42,0.8,0.064,0.025,"C"
"8043",1300,30.5,11.7,1,0.6,13.8,1.6,0.63,"E"
"8044",811,18.3,11.4,5.1,3.7,2.8,0.23,0.091,"D"
"8047",3061,82,54,1,1,0.6,0.05,0.02,"E"
"8050",837,3,0.3,33,2,5,1,0.394,"A"
"8052",1130,22.5,15,6,6,10.5,2.769,1.09,"E"
"8071",1298,21.9,3,21,1.6,7.4,2.54,1,"D"
"8095",800,0.057,0.036,48.6,45.3,0.548,0.004,0.002,"C"
"8096",800,0.057,0.036,48.6,45.3,0.548,0.004,0.002,"C"
"8098",800,0.057,0.036,48.6,45.3,0.548,0.004,0.002,"C"
"8100",800,0.057,0.036,48.6,45.3,0.548,0.004,0.002,"C"
"8101",800,0.057,0.036,48.6,45.3,0.548,0.004,0.002,"C"
"8102",800,0.571,0.036,48.6,45.3,0.548,0.004,0.002,"C"
"8104",800,0.057,0.036,48.6,45.3,0.548,0.004,0.002,"C"
"8105",800,0.057,0.036,48.65,45.3,0.548,0.004,0.002,"C"
"8106",800,0.057,0.036,48.6,45.3,0.548,0.004,0.002,"C"
"8107",3347,0.057,0.036,48.6,45.3,0.548,0.004,0.002,"D"
"8109",800,0.057,0.036,48.6,45.3,0.548,0.004,0.002,"C"
"8110",800,0.057,0.036,48.6,45.3,0.548,0.004,0.002,"C"
"8119",3761,100,14,0,0,0,0,0,"D"
"8124",899,100,14,0,0,0,0,0,"C"
"8125",899,100,14,0,0,0,0,0,"C"
"8127",899,100,14,0,0,0,0,0,"C"
"8128",899,100,14,0,0,0,0,0,"C"
"8131",899,100,14,0,0,0,0,0,"C"
"8132",899,100,14,0,0,0,0,0,"C"
"8133",899,100,14,0,0,0,0,0,"D"
"8134",899,100,14,0,0,0,0,0,"D"
"8138",1055,2.7,0.7,45,2.8,9.8,1.57,0.618,"B"
"8142",383,1.4,1,16,15.3,3.4,0.127,0.05,"B"
"8143",585,9.2,2.7,0.7,0.3,12.6,0.366,0.144,"A"
"8144",433,1.9,1,17.9,15.6,3.3,0.127,0.05,"B"
"8150",1142,1,0.2,72.8,71.4,2.9,0,0,"B"
"8176",1950,15,11.4,73.9,41.1,6.4,0.254,0.1,"E"
"8194",2029,18,15,68,38,6,0.254,0.1,"E"
"8195",2002,19.6,9.32,68.6,16.9,6.99,2.184,0.86,"E"
"8196",2259,60,11,0,0,0,0.254,0.1,"C"
"8197",243,2.2,0.2,8.6,8.4,0.8,0.051,0.02,"B"
"8199",2138,23,14,67,35,6.9,1.905,0.75,"E"
"8200",2084,23.5,12.7,64.2,23.6,6.1,1.524,0.6,"E"
"8211",745,0.5,0.2,42.1,38.7,0.9,0,0,"C"
