"","Energy","Fat","Saturated_fat","Carbohydrate","Sugars","Proteins","Salt","Sodium","Score"
"6054",226,0.1,0,5,4.6,8.3,0.1,0.039,"A"
"6076",1423,0,0,85,85,0,0,0,"D"
"6077",397,3.3,2.2,12,11,4,0.21,0.083,"C"
"6080",268,3.6,2.2,4.8,4.8,3.2,0.1,0.039,"B"
"6094",13,0,0,1.1,0,0,0.21,0.083,"B"
"6095",331,18.8,2.13,10.6,3,3.5,0.9,0.354,"A"
"6096",418,3.6,2.4,4.6,4.6,3.1,0.1,0.039,"C"
"6102",189,1.5,0.2,7,3.5,0.7,0.1,0.039,"B"
"6103",2632,51,11,15,8,25,1.1,0.433,"E"
"6104",264,3.6,2.4,4.6,4.6,3.1,0.13,0.051,"B"
"6109",356,1.5,0.3,71.7,3.5,12.5,0.005,0.002,"A"
"6113",1075,23.9,3.1,8.7,8.3,0.8,1,0.394,"D"
"6115",397,0.4,0.1,1.7,1.7,0,0.01,0.004,"B"
"6117",368,0.5,0,20,19,0.7,1.6,0.63,"C"
"6124",791,18,12.2,4.4,3.7,2.4,0.1,0.039,"D"
"6131",1443,30,4.3,17.7,15.9,0.4,0.7,0.276,"D"
"6135",1607,41,1.9,0,0,1.9,0.3,0.118,"C"
"6137",1736,10,3.6,72,39,2.1,1.2,0.472,"D"
"6142",1598,8.5,3.1,60.6,10.1,11.3,0.1,0.039,"A"
"6148",1791,6.4,3.3,91.9,85.6,0.6,0.01,0.004,"D"
"6166",397,0.7,0.4,18,17,3.2,0.09,0.035,"C"
"6169",3761,99.88,93.9,0,0,0,0,0,"E"
"6173",808,8.5,7.9,26,22,2.4,0.09,0.035,"D"
"6174",8,0,0,0,0,0,0.05,0.02,"B"
"6178",2046,22.7,0,61.9,14.9,8,0.6,0.236,"D"
"6196",1548,8,1.5,59,1.1,11,0.03,0.012,"A"
"6204",71,0,0,4,3.3,0.1,0,0,"B"
"6209",2159,9.1,3.1,8.7,2.9,1.1,1.1,0.433,"D"
"6214",159,1,0.2,4,1.9,3,0.05,0.02,"A"
"6217",3766,100,14,0,0,0,0,0,"E"
"6220",1172,22,20,19,0.2,1.2,2.3,0.906,"E"
"6224",1146,23.4,6.01,3.8,0,12,1,0.394,"D"
"6232",1669,3.8,1.3,81,41,7.8,0.01,0.004,"C"
"6244",163,2.5,0.6,2.8,2.8,0.6,1,0.394,"E"
"6248",778,0,0,44,39.8,0.5,0.025,0.01,"C"
"6249",1561,1.3,0.6,82.7,2.8,7,1.2,0.472,"C"
"6250",1996,25.3,1.9,53.4,51.4,8.9,0.02,0.008,"D"
"6254",218,0,0,10.6,10.6,0,0.16,0.063,"E"
"6256",485,8,1.9,0,0,11,0.5,0.197,"A"
"6257",4402,3.2,0.7,34.5,34.3,8.1,0.05,0.02,"C"
"6259",615,8.5,5.5,6,6,11.5,2.3,0.906,"D"
"6262",1067,19,12.7,8.5,5,12.5,2.8,1.102,"E"
"6264",1720,10,5,66,5,10,1.1,0.433,"C"
"6270",2276,31.7,19.1,53.1,52.6,10.6,0.34,0.134,"E"
"6271",79,0.1,0.1,4.6,4.6,0.1,0.1,0.039,"D"
"6272",1084,0.6,0,57,37,3.1,0.24,0.094,"C"
"6274",159,1.9,1.2,3.9,2.2,0.7,0.75,0.295,"C"
"6281",1368,22.1,14.8,11.7,1,20.8,9.5,3.74,"E"
"6284",2243,32,18,57,55,4.7,0.5,0.197,"E"
"6285",1715,7.4,0.01,75.5,28,7.5,0.5,0.197,"C"
"6286",84,3.04,0,3.07,0.84,0.91,0,0,"A"
"6289",2038,20.7,9.4,65.4,30.9,7.5,1.4,0.551,"E"
"6292",578,40,6.3,33.3,23.3,18,0.01,0.004,"D"
"6305",975,18.5,6.5,4.5,0.5,12,2.5,0.984,"D"
"6308",1496,29.9,20.3,0,0,22.9,1.8,0.709,"D"
"6345",1176,7.8,0.9,46,2.3,4.6,1.321,0.52,"B"
"6359",2113,31,3.4,51,2.6,4.9,1.5,0.591,"D"
"6361",2368,37,17.1,51.5,2.1,5.9,1.2,0.472,"D"
"6362",1067,2.5,0.6,39,7.8,13,1.1,0.433,"A"
"6364",259,3.6,2.4,4.5,4.5,3,0.13,0.051,"B"
"6365",180,0.1,0,6.2,6,4.6,0.1,0.039,"A"
"6366",2025,19,8.8,72.6,38.1,5,0.92,0.362,"E"
"6367",1954,18,1.6,63,17,11,0.81,0.319,"C"
"6368",1879,17,1.7,69,2.7,6,1,0.394,"B"
